Year,Series,Schedule,Location,Applicant_count,Applicant_m,Applicant_f
112,1,1日,臺中,990,844,146
112,2,2日,嘉義,825,709,116
112,3,1日,雲林,764,667,97
112,4,1日,宜蘭,864,692,172
112,5,1日,苗栗,1194,1033,161
112,6,2日,花蓮,951,780,171
112,7,1日,臺南,878,718,160
112,8,1日,高雄,931,815,116
112,9,2日,宜蘭,1027,833,194
112,10,1日,臺中,1410,1154,256
112,11,1日,新北,1076,875,201
112,12,2日,南投,1070,896,174
111,1,1日,臺中,1080,938,142
111,2,1日,高雄,646,522,124
111,3,1日,新北,954,743,211
111,4,2日,苗栗,854,719,135
111,5,2日,屏東,758,635,123
111,6,2日,宜蘭,1029,763,266
111,7,2日,臺東,728,592,136
111,8,2日,南投,1230,959,271
111,9,1日,新竹,1081,756,325
110,1,1日,臺北,817,631,186
110,2,1日,桃園,484,411,73
110,3,2日,新竹,412,319,93
110,4,1日,嘉義,658,555,103
110,5,1日,高雄,582,469,113
110,6,2日,臺南,596,512,84
110,7,1日,苗栗,616,532,84
110,8,2日,南投,750,618,132
110,9,1日,新北,402,325,77
110,10,1日,宜蘭,760,571,189
110,11,1日,臺南,515,437,78
110,12,1日,臺中,651,512,139
110,13,2日,臺東,426,328,98
109,1,1日,臺中,727,587,140
109,2,1日,雲林,634,546,88
109,3,2日,臺東,537,427,110
109,4,1日,臺中,805,668,137
109,5,1日,苗栗,559,486,73
109,6,1日,臺北,808,599,209
109,7,1日,宜蘭,709,517,192
109,8,2日,高雄,532,436,96
109,9,1日,新竹,728,582,146
109,10,1日,嘉義,471,386,85
109,11,1日,臺南,601,463,138
109,12,2日,南投,940,713,227
109,13,2日,宜蘭,839,641,198
108,1,2日,屏東,533,438,95
108,2,1日,臺中,620,522,98
108,3,半日,新竹,419,332,87
108,4,2日,宜蘭,648,515,133
108,5,半日,高雄,366,319,47
108,6,1日,臺南,601,490,111
108,7,半日,臺北,569,436,133
108,8,半日,新北,463,352,111
108,9,2日,花蓮,393,311,82
108,10,1日,臺北,586,471,115
108,11,1日,桃園,458,372,86
108,12,1日,嘉義,620,539,81
108,13,1日,高雄,589,507,82
108,14,半日,臺中,622,506,116
108,15,1日,彰化,773,667,106
108,16,1日,新北,776,571,205
108,17,1日,宜蘭,877,635,242
108,18,2日,南投,840,663,177
107,1,2日,屏東,522,413,109
107,2,半日,桃園,588,513,75
107,3,半日,臺中,658,521,137
107,4,1日,苗栗,857,688,169
107,5,2日,南投,818,606,212
107,6,1日,宜蘭,558,432,126
107,7,半日,嘉義,478,396,82
107,8,1日,臺南,720,575,145
107,9,1日,高雄,612,470,142
107,10,1日,屏東,185,162,23
107,11,半日,臺北,764,501,263
107,12,半日,臺北,981,731,250
107,13,半日,臺中,738,546,192
107,14,1日,嘉義,647,527,120
107,15,2日,臺東,568,403,165
107,16,2日,花蓮,421,335,86
107,17,2日,花蓮,427,333,94
106,1,1日,苗栗,1069,831,238
106,2,2日,宜蘭,586,443,143
106,3,半日,臺中,617,510,107
106,4,1日,高雄,405,269,136
106,5,2日,南投,748,531,217
106,6,1日,桃園,848,683,165
106,7,1日,臺南,640,501,139
106,8,半日,嘉義,440,354,86
106,9,半日,新北,936,743,193
106,10,半日,臺中,589,445,144
106,11,半日,臺北,825,456,369
106,12,2日,臺東,727,510,217
105,1,1日,苗栗/新竹,617,510,107
105,2,1日,高雄,531,423,108
105,3,半日,新北,377,276,101
105,4,半日,彰化,232,198,34
105,5,半日,臺中,517,414,103
105,6,1日,嘉義,409,316,93
105,7,1日,宜蘭,598,418,180
105,8,半日,宜蘭,187,155,32
105,9,2日,臺南,286,230,56
105,10,2日,苗栗,323,248,75
105,11,半日,新竹,372,280,92
105,12,2日,南投,632,420,212